21:47:54 ..\..\src\simpleeventcontroller.cpp:1420 IM: Set Resample Mode
21:48:00 ..\..\src\simpleeventcontroller.cpp:1420 IM: Set Resample Mode
21:48:37 ..\..\src\simpleeventcontroller.cpp:1420 IM: Set Resample Mode
21:48:38 ..\..\src\simpleeventcontroller.cpp:1420 IM: Set Resample Mode
21:48:39 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:39 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:39 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:40 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:40 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:40 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:40 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:42 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
21:48:43 ..\..\src\simpleeventcontroller.cpp:1517 IO: Adjust Fixed Sample Rate
